id,sku,http_status,ok,payload_keys,price_fields_written,error
3770,3230-25BA,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3769,2876-10,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3767,2874-02,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3765,2710-25,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3764,2385-3,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3763,2383-08,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3762,2366-30,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3760,2321-75,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3758,2321-55,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3757,2321-35,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3756,2309-100D,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3754,2222-25,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3753,2151-AL75,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3751,2151-AL55,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3750,2151-AL35,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3748,2151-95,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3747,2151-75,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3745,2132-20,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3744,1244-30,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3743,1181-M50A,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3741,0213-500A,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3740,4120-6,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3739,4120-5N,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3737,4120-5,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3735,4120-4N,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
3733,4120-4,401,False,description|meta_description|meta_title|short_description|specifications,none,"{""error_code"": ""UNAUTHORIZED"", ""message"": ""Could not validate credentials"", ""details"": []}"
