id,sku,catalog_code,confidence,match_rule,name,range,accuracy,resolution,series,pdf_page
1866,1316-500,1316-500,very_high,exact_code,کولیس استنلس استیل ساعتی اینسایز (Insize) 60 سانت مدل 500-1316,0-500mm,±0.05mm,0.02mm,DIAL CALIPERS SHOCK,46
1865,1312-300,1312-300A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز (Insize) 30 سانتی متر مدل 300-1312,0-300mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1864,1312-200,1312-200A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز (Insize) 20 سانتی متر مدل 200-1312,0-200mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1863,1312-150,1312-150A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز (Insize) 15 سانتی متر مدل 150-1312,0-150mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1862,1311-300,1311-300A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز (Insize) 30 سانتی متر مدل 300-1311,0-300mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1861,1311-200,1311-200A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز(Insize) 20 سانتی متر مدل 200-1311,0-200mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1860,1311-150,1311-150A,very_high,unique_letter_suffix,کولیس ساعتی اینسایز (Insize) 15 سانتی متر مدل 150-1311,0-150mm,±0.03mm,0.02mm,DIAL CALIPERS SHOCK,46
1859,1250-600,1250-600,very_high,exact_code,کولیس معمولی اینسایز (Insize) 60 سانتی متر پایه دار مدل 600-1250,"0-600mm/0-24""",±0.05mm,"0.02mm/0.001""",,118
1858,1250-300,1250-300,very_high,exact_code,کولیس پایه دار ساده اینسایز (Insize) 30 سانتی متر مدل 300-1250,"0-300mm/0-12""",±0.04mm,"0.02mm/0.001""",,118
1857,1236-524,1236-524,very_high,exact_code,کولیس معمولی اینسایز (Insize) 50 سانت دو فک فک بلند 15سانت مدل 524-1236,"0-500mm/0-20""",±0.08mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,49
1856,1236-394,1236-394,very_high,exact_code,کولیس معمولی اینسایز (Insize) 30 سانت دو فک فک بلند 9 سانت مدل 394-1236,"0-300mm/0-12""",±0.07mm,"0.01mm/0.0005""",DATA DIGITAL CALIPERS,49
1854,1215-822,1215-822,very_high,exact_code,کولیس معمولی اینسایز (Insize) 80 سانتی متر فک بلند 15 سانت مدل 822-1215,"0-800mm/0-32""",±0.07mm,"0.02mm/0.001""",VERNIER CALIPERS (SEPARATE TYPE),51
